Port,Latitude,Longitude
 Gemlik ,29.1500000000000,40.4166666666666
 Iskenderun ,36.1666666666666,36.5833333333333
 Izmir ,27.1500000000000,38.4166666666666
 Izmit ,29.9500000000000,40.7833333333333
 Kumport ,28.8166666666666,40.9500000000000
 Limas ,26.9166666666666,38.7500000000000
 Mardas ,28.9500000000000,41.0166666666666
 Mersin ,34.6333333333333,36.7166666666666
 Samsun ,36.3333333333333,41.2833333333333
 Tekirdag ,27.5166666666666,40.9666666666666
 Trabzon ,39.7333333333333,41.0000000000000
 Yilport ,29.5333333333333,40.7666666666666
 Taipei ,121.5166666666660,25.0333333333333
 Dar es Salaam ,39.2833333333333,-6.8000000000000
 Chornomorsk ,30.6666666666666,46.3166666666666
 Odesa ,30.7500000000000,46.5000000000000
 Yuzhnyi ,31.0166666666666,46.6000000000000
 Punta Pereyra ,-58.0666666666666,-34.2333333333333
 Palúa ,-62.6666666666666,8.3500000000000
 Cape Town ,18.4166666666666,-33.9166666666666
 Coega ,25.6666666666666,-33.7666666666666
 Durban ,31.0166666666666,-29.8500000000000
 Ajman ,55.4787800000000,25.4017700000000
 Jebel Ali ,55.1081100000000,25.0025500000000
 Durrës ,19.4546900000000,41.3235500000000
 Durrës ,19.4546900000000,41.3235500000000
 Cabinda ,12.2000000000000,-5.5500000000000
 Lobito ,13.5360100000000,-12.3644000000000
 Luanda ,13.2343200000000,-8.8368200000000
 Malongo ,12.1980217978394,-5.3964064818524
 Namibe ,12.1522200000000,-15.1961100000000
 Soyo ,12.3689400000000,-6.1349000000000
 Bridgetown ,-59.6202100000000,13.1073200000000
 Mongla ,89.6109500000000,22.4722300000000
 Burgas ,27.4678100000000,42.5060600000000
 Varna ,27.9166700000000,43.2166700000000
 Cotonou ,2.4183300000000,6.3653600000000
 Aitutaki ,-159.7929300000000,-18.8519500000000
 Rarotonga ,-159.7754500000000,-21.2075000000000
 Douala ,9.7042800000000,4.0482700000000
 Kribi ,9.9076500000000,2.9372500000000
 Moa ,-74.9507500000000,20.6577600000000
 Santiago de Cuba ,-75.8266700000000,20.0208300000000
 Palmeira ,-22.9834800000000,16.7575400000000
 Praia ,-23.5125400000000,14.9315200000000
 Sal Rei ,-22.9172200000000,16.1761100000000
 Djibouti ,43.1450300000000,11.5890100000000
 Roseau ,-61.3880800000000,15.3017400000000
 Boca Chica ,-69.6000000000000,18.4500000000000
 Puerto Plata ,-70.6884000000000,19.7934400000000
 Mostaganem ,0.0891800000000,35.9311500000000
 Oran ,-0.6358800000000,35.6990600000000
 El Dekheila ,29.8212600000000,31.1313300000000
 Port Said ,32.3019000000000,31.2653100000000
 Libreville ,9.4535600000000,0.3924100000000
 Port Gentil ,8.7815100000000,-0.7193300000000
 Saint George's ,-61.7522600000000,12.0528800000000
 Batumi ,41.6339200000000,41.6422800000000
 Poti ,41.6738400000000,42.1427200000000
 Takoradi ,-1.7602900000000,4.8981600000000
 Tema ,-0.0165700000000,5.6698000000000
 Banjul ,-16.5780300000000,13.4527400000000
 Conakry ,-13.6772900000000,9.5379500000000
 Bata ,9.7658200000000,1.8639100000000
 Malabo ,8.7816600000000,3.7557800000000
 Georgetown ,-58.1552700000000,6.8044800000000
 Banjarmasin ,114.5907500000000,-3.3198700000000
 Belawan Sumatra ,98.6832000000000,3.7755000000000
 Bitung Sulawesi ,125.1282400000000,1.4405900000000
 Gorontalo Sulawesi ,123.3908000000000,-0.8985000000000
 Kendari Sulawesi ,122.5150700000000,-3.9778000000000
 Luwuk ,122.7875000000000,-0.9516000000000
 Medan Sumatra ,98.6666700000000,3.5833300000000
 Palembang Sumatra ,104.7458000000000,-2.9167300000000
 Panjang ,100.6199000000000,0.3087000000000
 Pontianak Kalimantan ,109.3250000000000,-0.0319400000000
 Samarinda Kalimantan ,117.1458300000000,-0.4916700000000
 Sorong ,131.2610400000000,-0.8795600000000
 Tarakan Kalimantan ,117.5915200000000,3.3133200000000
 Tolitoli ,121.1679000000000,1.2718000000000
 Abu Al Fulus ,48.0424600000000,30.4478300000000
 Basra ,47.7804000000000,30.5085200000000
 Marina di Carrara ,10.0414200000000,44.0383700000000
 Monfalcone ,13.5329200000000,45.8046300000000
 Pozzuoli ,14.0952000000000,40.8439400000000
 Ravenna ,12.2012100000000,44.4134400000000
 Salerno ,14.7932800000000,40.6754500000000
 Trieste ,13.7767800000000,45.6495300000000
 Kingston ,-76.7935800000000,17.9970200000000
 Montego Bay ,-77.9188300000000,18.4711600000000
 Mombasa ,39.6635900000000,-4.0546600000000
 Moroni ,43.2550600000000,-11.7021600000000
 Tripoli ,35.8441500000000,34.4335200000000
 Klaipeda ,21.1391200000000,55.7068000000000
 Riga ,24.1058900000000,56.9460000000000
 Bingazi (Benghazi) ,20.0685900000000,32.1148600000000
 Misurata ,15.0925400000000,32.3753500000000
 Tripoli ,13.1873300000000,32.8874300000000
 Antsiranana ,49.2918800000000,-12.3173200000000
 Majunga (Mahajanga) ,46.3166700000000,-15.7166700000000
 Tamatave (Toamasina) ,49.4023400000000,-18.1492000000000
 Tulear (Toliara) ,43.6666700000000,-23.3500000000000
 Yangon ,96.1561100000000,16.8052800000000
 Yangon ,96.1561100000000,16.8052800000000
 Nouadhibou ,-17.0384200000000,20.9418800000000
 Nouakchott ,-15.9785000000000,18.0858100000000
 Bintulu Sarawak ,113.0333300000000,3.1666700000000
 Kota Kinabalu Sabah ,116.0724000000000,5.9749000000000
 Kuching Sarawak ,110.3333300000000,1.5500000000000
 Labuan Sabah ,115.2692400000000,5.2888300000000
 Malacca ,102.2405000000000,2.1960000000000
 Pasir Gudang Johor ,103.8780000000000,1.4726000000000
 Sandakan Sabah ,118.1179000000000,5.8402000000000
 Sibu Sarawak ,111.8166700000000,2.3000000000000
 Tawau Sabah ,117.8911500000000,4.2448200000000
 Beira ,34.8388900000000,-19.8436100000000
 Maputo ,32.5832200000000,-25.9655300000000
 Nacala ,40.6853800000000,-14.5625700000000
 Quelimane ,36.8883300000000,-17.8786100000000
 Walvis Bay ,14.5052800000000,-22.9575000000000
 Apapa ,3.3590100000000,6.4488000000000
 Calabar ,8.3269500000000,4.9589300000000
 Lagos ,3.3946700000000,6.4540700000000
 Port Harcourt ,7.0134000000000,4.7774200000000
 Salalah ,54.0923700000000,17.0150500000000
 Sohar ,56.7093700000000,24.3474500000000
 Almirante ,-82.4018000000000,9.3009100000000
 Balboa ,-79.5667200000000,8.9481400000000
 Coco Solo ,-79.8816800000000,9.3709100000000
 Manzanillo ,-81.1666700000000,7.5366700000000
 Callao ,-77.1181400000000,-12.0565900000000
 Ilo ,-71.3410800000000,-17.6318500000000
 Iquitos ,-73.2538300000000,-3.7491200000000
 Matarani ,-72.1056300000000,-16.9963900000000
 Paita ,-81.1144400000000,-5.0891700000000
 Pisco ,-76.2053800000000,-13.7102900000000
 Alotau ,150.4574200000000,-10.3150900000000
 Buka ,154.6709800000000,-5.4326100000000
 Kimbe ,150.1376600000000,-5.5508500000000
 Lae ,146.9961100000000,-6.7233300000000
 Port Moresby ,147.1508900000000,-9.4772300000000
 Rabaul ,152.1629700000000,-4.2003700000000
 Wewak ,143.6322900000000,-3.5496400000000
 Bacolod Negros ,122.9500000000000,10.6666700000000
 Cagayan de Oro Mindanao ,124.6472200000000,8.4822200000000
 Cebu ,123.8907100000000,10.3167200000000
