,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
605,Jamaica,2016,1380,3,4,December,China Communications Construction,350,,,Transport,Autos,North America,1,JAM,1
648,Jamaica,2016,1380,3,4,July,Jiquan Iron and Steel,300,100%,Alumina Partners,Metals,Unspecified,North America,1,JAM,1
606,Jordan,2016,3520,5,7,February,Minmetals,350,,Phosphate Mines,Chemicals,Unspecified,Arab Middle East and North Africa,1,JOR,1
607,Jordan,2016,3520,5,7,May,"Guangdong Province, Huaneng Power",950,45%,,Energy,Oil,Arab Middle East and North Africa,1,JOR,1
608,Kazakhstan,2016,6230,11,24,January,Power Construction Corp,340,,,Energy,Alternative,West Asia,1,KAZ,1
609,Kazakhstan,2016,6230,11,24,August,China Energy Engineering,180,70%,Darnak,Real estate,Construction,West Asia,1,KAZ,1
655,Kenya,2016,2810,13,29,December,Power Construction Corp,200,,,Transport,Autos,Sub-Saharan Africa,1,KEN,1
656,Kenya,2016,2810,13,29,October,Jiangxi International Economic and Technical Cooperation,130,,,Energy,Alternative,Sub-Saharan Africa,1,KEN,1
657,Kenya,2016,2810,13,29,October,Jiangxi International Economic and Technical Cooperation,140,,,Energy,Alternative,Sub-Saharan Africa,1,KEN,1
659,Kenya,2016,2810,13,29,August,State Grid,720,,,Energy,Unspecified,Sub-Saharan Africa,1,KEN,1
660,Kenya,2016,2810,13,29,July,Fujian Construction Engineering,160,,,Transport,Autos,Sub-Saharan Africa,1,KEN,1
668,Kenya,2016,2810,13,29,August,Fujian Construction Engineering,100,100%,,Real estate,Construction,Sub-Saharan Africa,1,KEN,1
700,Kenya,2016,2810,13,29,January,"Norinco, Shandong Taikai Group",120,,,Energy,Unspecified,Sub-Saharan Africa,1,KEN,1
701,Kenya,2016,2810,13,29,May,Sinomach,190,,,Energy,Unspecified,Sub-Saharan Africa,1,KEN,1
702,Kenya,2016,2810,13,29,February,Sinomach,220,,Kipeto,Energy,Alternative,Sub-Saharan Africa,1,KEN,1
680,Kuwait,2016,4340,10,20,December,Minmetals,530,,Daman,Health,Unspecified,Arab Middle East and North Africa,1,KWT,1
681,Kuwait,2016,4340,10,20,November,Minmetals,310,,,Transport,Autos,Arab Middle East and North Africa,1,KWT,1
682,Kuwait,2016,4340,10,20,September,Power Construction Corp,210,,,Energy,Gas,Arab Middle East and North Africa,1,KWT,1
683,Kuwait,2016,4340,10,20,August,China Railway Engineering,200,,,Transport,Autos,Arab Middle East and North Africa,1,KWT,1
684,Kuwait,2016,4340,10,20,May,State Construction Engineering,580,,,Other,Education,Arab Middle East and North Africa,1,KWT,1
486,Laos,2016,10820,20,37,September,China Railway Engineering,1580,,,Transport,Rail,East Asia,1,LAO,1
497,Laos,2016,10820,20,37,March,"Jiangsu Yongding, Sinomach",120,,Electricity du Laos,Energy,Unspecified,East Asia,1,LAO,1
499,Laos,2016,10820,20,37,March,Sinomach,2100,,Electricite du Laos,Energy,Unspecified,East Asia,1,LAO,1
500,Laos,2016,10820,20,37,April,Power Construction Corp,2030,85%,,Energy,Hydro,East Asia,1,LAO,1
502,Laos,2016,10820,20,37,October,Norinco,100,,,Utilities,Unspecified,East Asia,1,LAO,1
510,Laos,2016,10820,20,37,March,Sinomach,310,,,Energy,Hydro,East Asia,1,LAO,1
503,Latvia,2016,110,1,1,February,China Communications Construction,110,,Riga Commercial Port,Transport,Shipping,Europe,1,LIGAT,1
509,Luxembourg,2016,2450,3,5,June,Shandong Heavy,2100,,DH Services,Logistics,Unspecified,Europe,1,LMH,1
482,Madagascar,2016,410,2,4,January,Power Construction Corp,270,,,Energy,Hydro,Sub-Saharan Africa,1,MDG,1
512,Malaysia,2016,20870,32,58,January,Minmetals,210,,Shanghai Greenland,Tourism,Unspecified,East Asia,1,MYS,1
552,Malaysia,2016,20870,32,58,January,Zhuzhou Kibing,210,100%,,Real estate,Construction,East Asia,1,MYS,1
553,Malaysia,2016,20870,32,58,March,China General Nuclear,100,,,Energy,Alternative,East Asia,1,MYS,1
554,Malaysia,2016,20870,32,58,May,Guangxi Investment,140,,,Metals,Aluminum,East Asia,1,MYS,1
555,Malaysia,2016,20870,32,58,June,Xian Longi,240,100%,,Energy,Alternative,East Asia,1,MYS,1
556,Malaysia,2016,20870,32,58,June,China National Chemical Engineering,240,,PRINSIP HASIL,Real estate,Construction,East Asia,1,MYS,1
557,Malaysia,2016,20870,32,58,July,Minmetals,110,,Guangxi Beibu,Metals,Steel,East Asia,1,MYS,1
558,Malaysia,2016,20870,32,58,July,Beijing Enterprises,160,,,Utilities,Unspecified,East Asia,1,MYS,1
559,Malaysia,2016,20870,32,58,August,China Railway Engineering,370,,,Transport,Rail,East Asia,1,MYS,1
560,Malaysia,2016,20870,32,58,October,Sinopec,190,,PETRONAS,Chemicals,Unspecified,East Asia,1,MYS,1
561,Malaysia,2016,20870,32,58,October,State Construction Engineering,230,,,Real estate,Construction,East Asia,1,MYS,1
562,Malaysia,2016,20870,32,58,November,"China Railway Contruction, China Railway Engineering, China Communications Construction",2120,,,Transport,Rail,East Asia,1,MYS,1
563,Malaysia,2016,20870,32,58,November,Minmetals,310,,,Real estate,Construction,East Asia,1,MYS,1
564,Malaysia,2016,20870,32,58,November,Power Construction Corp,120,,Sarawak Energy,Energy,Gas,East Asia,1,MYS,1
577,Malaysia,2016,20870,32,58,December,China Communications Construction,1680,50%,Bina Puri,Tourism,Unspecified,East Asia,1,MYS,1
578,Malaysia,2016,20870,32,58,November,CNPC,110,35%,Petronas,Chemicals,Unspecified,East Asia,1,MYS,1
518,Maldives,2016,880,4,6,December,China Railway Engineering,150,,,Transport,Aviation,West Asia,1,MDV,1
530,Mongolia,2016,3650,5,13,August,China Railway Engineering,110,,,Other,Education,East Asia,1,MNG,1
544,Mongolia,2016,3650,5,13,August,China Energy Engineering,100,100%,,Energy,Hydro,East Asia,1,MNG,1
538,Myanmar,2016,3320,8,16,October,China Communications Construction,120,,,Transport,Autos,East Asia,1,MMR,1
539,Myanmar,2016,3320,8,16,May,Power Construction Corp,130,,,Energy,Gas,East Asia,1,MMR,1
540,Myanmar,2016,3320,8,16,April,Zhuhai Zhenrong,2100,70%,,Energy,Oil,East Asia,1,MMR,1
541,Myanmar,2016,3320,8,16,February,China Energy Engineering,100,,,Energy,Gas,East Asia,1,MMR,1
542,Myanmar,2016,3320,8,16,January,Sino Great Wall,200,,Maha Land,Real estate,Construction,East Asia,1,MMR,1
545,New Zealand,2016,1640,5,9,January,State Construction Engineering,150,,,Real estate,Construction,East Asia,1,NZL,1
546,New Zealand,2016,1640,5,9,July,China Animal Husbandry,180,72%,Mataura Valley Milk,Agriculture,Unspecified,East Asia,1,NZL,1
511,Nigeria,2016,9630,13,33,December,China Railway Construction,1690,,,Transport,Rail,Sub-Saharan Africa,1,NER,1
513,Nigeria,2016,9630,13,33,October,Sinomach,410,,,Energy,Gas,Sub-Saharan Africa,1,NER,1
548,Nigeria,2016,9630,13,33,August,China Communications Construction,540,,,Transport,Autos,Sub-Saharan Africa,1,NER,1
549,Nigeria,2016,9630,13,33,July,China Railway Construction,1220,,,Transport,Rail,Sub-Saharan Africa,1,NER,1
571,Nigeria,2016,9630,13,33,November,Sinomach,200,,,Energy,Gas,Sub-Saharan Africa,1,NER,1
468,Oman,2016,3170,4,9,June,Power Construction Corp,330,,,Energy,Gas,Arab Middle East and North Africa,1,OMN,1
470,Oman,2016,3170,4,9,May,Power Construction Corp,2300,,"Mitsui, ACWA, DIDIC",Energy,Gas,Arab Middle East and North Africa,1,OMN,1
471,Oman,2016,3170,4,9,May,Ningxia investors (Oman Wangfang),240,,,Other,Unspecified,Arab Middle East and North Africa,1,OMN,1
469,Pakistan,2016,34150,38,63,January,Three Gorges,2400,,,Energy,Hydro,West Asia,1,PAK,1
472,Pakistan,2016,34150,38,63,January,China Communications Construction,1320,,,Transport,Autos,West Asia,1,PAK,1
475,Pakistan,2016,34150,38,63,January,Power Construction Corp,220,,,Transport,Shipping,West Asia,1,PAK,1
484,Pakistan,2016,34150,38,63,February,Three Gorges,1650,,,Energy,Hydro,West Asia,1,PAK,1
498,Pakistan,2016,34150,38,63,January,China Energy Engineering,360,20%,Suki Kinari,Energy,Hydro,West Asia,1,PAK,1
550,Pakistan,2016,34150,38,63,April,Power Construction Corp,910,,,Energy,Gas,West Asia,1,PAK,1
551,Pakistan,2016,34150,38,63,July,Three Gorges,220,100%,,Energy,Alternative,West Asia,1,PAK,1
570,Pakistan,2016,34150,38,63,December,Power Construction Corp,1080,,Lucky Electric,Energy,Coal,West Asia,1,PAK,1
572,Pakistan,2016,34150,38,63,December,State Grid,1760,,,Energy,Unspecified,West Asia,1,PAK,1
573,Pakistan,2016,34150,38,63,July,China Energy Engineering,530,,KAPCO,Energy,Coal,West Asia,1,PAK,1
579,Pakistan,2016,34150,38,63,August,CITIC,190,,Gharibal,Real estate,Construction,West Asia,1,PAK,1
516,Panama,2016,1230,3,7,January,State Construction Engineering,190,,,Real estate,Construction,North America,1,PMH,1
517,Panama,2016,1230,3,7,May,Shandong Landbridge,900,,,Transport,Shipping,North America,1,PMH,1
520,Papua New Guinea,2016,1130,6,10,July,State Construction Engineering,180,,EDA RANU,Utilities,Unspecified,East Asia,1,PNG,1
522,Papua New Guinea,2016,1130,6,10,August,China Railway Engineering,130,,,Real estate,Construction,East Asia,1,PNG,1
524,Philippines,2016,2080,5,21,June,CITIC,150,,Century Peak,Real estate,Construction,East Asia,1,PHL,1
526,Philippines,2016,2080,5,21,November,China Energy Engineering,280,,,Energy,Coal,East Asia,1,PHL,1
527,Philippines,2016,2080,5,21,November,Qingdao Hengshun Zhongsheng,440,,,Energy,Alternative,East Asia,1,PHL,1
543,Poland,2016,870,4,11,June,Everbright,140,,Novago,Utilities,Unspecified,Europe,1,POL,1
537,Portugal,2016,3860,5,7,November,Fosun,180,17%,Banco Comercial Portugues,Finance,Banking,Europe,1,PANCS,1
534,Qatar,2016,2850,7,10,November,China Railway Construction,340,45%,HBK Contracting,Entertainment,Unspecified,Arab Middle East and North Africa,1,QAT,1
535,Qatar,2016,2850,7,10,June,China National Offshore Oil,110,,Qatar Petroleum,Energy,Gas,Arab Middle East and North Africa,1,QAT,1
536,Qatar,2016,2850,7,10,March,China Energy Engineering,660,,,Utilities,Unspecified,Arab Middle East and North Africa,1,QAT,1
521,Russian Federation,2016,17840,26,47,June,China National Chemical Engineering,440,,,Chemicals,Unspecified,West Asia,1,RUS,1
547,Russian Federation,2016,17840,26,47,November,Beijing Enterprises,1080,20%,Verkhnechonskneftegaz,Energy,Gas,West Asia,1,RUS,1
565,Russian Federation,2016,17840,26,47,November,Sinosteel,180,,Eurasia Mining,Metals,Unspecified,West Asia,1,RUS,1
566,Russian Federation,2016,17840,26,47,November,China Energy Engineering,260,,Rybinsk Power,Energy,Gas,West Asia,1,RUS,1
567,Russian Federation,2016,17840,26,47,December,SAFE,1150,10%,Sibur,Energy,Gas,West Asia,1,RUS,1
474,Saudi Arabia,2016,9440,19,42,February,Minmetals,230,,,Real estate,Construction,Arab Middle East and North Africa,1,SAU,1
476,Saudi Arabia,2016,9440,19,42,January,Power Construction Corp,390,,,Real estate,Construction,Arab Middle East and North Africa,1,SAU,1
480,Saudi Arabia,2016,9440,19,42,July,CNPC,330,,Aramco,Energy,Oil,Arab Middle East and North Africa,1,SAU,1
481,Saudi Arabia,2016,9440,19,42,May,Wison Energy,120,,,Chemicals,Unspecified,Arab Middle East and North Africa,1,SAU,1
483,Saudi Arabia,2016,9440,19,42,March,Sinomach,180,,Advanced Tyre,Transport,Autos,Arab Middle East and North Africa,1,SAU,1
487,Senegal,2016,2530,3,6,January,China Communications Construction,700,,,Transport,Autos,Sub-Saharan Africa,1,SEN,1
505,Serbia,2016,1720,5,22,December,Hebei Steel,120,,,Metals,Steel,Europe,1,SRB,1
506,Serbia,2016,1720,5,22,October,Huawei,170,,Telekom Srbija,Technology,Telecom,Europe,1,SRB,1
507,Serbia,2016,1720,5,22,June,Sinomach,230,,,Energy,Gas,Europe,1,SRB,1
508,Serbia,2016,1720,5,22,June,China Communications Construction,230,,,Transport,Autos,Europe,1,SRB,1
495,Sierra Leone,2016,1640,3,4,August,China Railway Engineering,160,,,Transport,Autos,Sub-Saharan Africa,1,SLE,1
473,Singapore,2016,10960,30,79,October,Shenzhen Government,990,100%,ACR Capital,Finance,Unspecified,East Asia,1,SGP,1
478,Singapore,2016,10960,30,79,December,Qingjian,220,,,Real estate,Property,East Asia,1,SGP,1
479,Singapore,2016,10960,30,79,December,Shanghai Tunnel Engineering,220,,,Transport,Rail,East Asia,1,SGP,1
485,Singapore,2016,10960,30,79,December,Shanghai Tunnel Engineering,110,,Woh Hup,Transport,Rail,East Asia,1,SGP,1
488,Singapore,2016,10960,30,79,April,China International Marine Containers,190,77%,Pteris,Logistics,Unspecified,East Asia,1,SGP,1
489,Singapore,2016,10960,30,79,April,Alibaba,1000,51%,Lazada,Other,Consumer,East Asia,1,SGP,1
490,Singapore,2016,10960,30,79,March,China Communications Construction,130,,,Transport,Rail,East Asia,1,SGP,1
491,Singapore,2016,10960,30,79,March,Sinochem,180,55%,Halcyon Agri,Agriculture,Unspecified,East Asia,1,SGP,1
492,Singapore,2016,10960,30,79,April,Minmetals,140,,,Transport,Rail,East Asia,1,SGP,1
493,Singapore,2016,10960,30,79,May,Qingjian,460,,,Real estate,Property,East Asia,1,SGP,1
494,Singapore,2016,10960,30,79,August,China Railway Engineering,180,,,Transport,Rail,East Asia,1,SGP,1
580,Singapore,2016,10960,30,79,April,State Construction Engineering,490,,,Real estate,Construction,East Asia,1,SGP,1
581,South Africa,2016,1350,5,7,August,Beijing Auto,520,65%,Industrial Development Co,Transport,Autos,Sub-Saharan Africa,1,ZAF,1
519,South Korea,2016,7920,9,15,November,Anbang,260,4%,Woori Bank,Finance,Banking,East Asia,1,KOR,1
523,South Korea,2016,7920,9,15,November,Anhui Landing,420,,,Tourism,Unspecified,East Asia,1,KOR,1
496,Sri Lanka,2016,4830,13,21,July,Power Construction Corp,120,,,Energy,Hydro,West Asia,1,LKA,1
504,Sri Lanka,2016,4830,13,21,October,Sinomach,480,,Maduru Oya,Agriculture,Unspecified,West Asia,1,LKA,1
477,Tajikistan,2016,170,1,2,October,Power Construction Corp,170,,,Energy,Hydro,West Asia,1,TJK,1
529,Thailand,2016,3570,12,27,December,China Railway Construction,540,,Win Win House,Agriculture,Unspecified,East Asia,1,THA,1
531,Thailand,2016,3570,12,27,October,China Aerospace Science and Technology,210,,,Technology,Telecom,East Asia,1,THA,1
532,Thailand,2016,3570,12,27,July,Power Construction Corp,110,,Sarahnlom,Energy,Alternative,East Asia,1,THA,1
533,Thailand,2016,3570,12,27,March,China Communications Construction,280,,,Transport,Rail,East Asia,1,THA,1
501,Turkey,2016,2750,8,12,January,Dongfang Electric,660,,Hattat,Energy,Coal,West Asia,1,TUR,1
568,Turkey,2016,2750,8,12,December,ZTE,100,48%,Netas,Technology,Telecom,West Asia,1,TUR,1
569,Turkey,2016,2750,8,12,May,Bank of China,110,100%,,Finance,Banking,West Asia,1,TUR,1
514,UAE,2016,5550,15,56,May,State Construction Engineering,120,,,Real estate,Construction,Arab Middle East and North Africa,1,ARE,1
515,UAE,2016,5550,15,56,April,Harbin Electric,690,,ACWA,Energy,Coal,Arab Middle East and North Africa,1,ARE,1
525,UAE,2016,5550,15,56,January,State Construction Engineering,170,,Nakheel,Real estate,Construction,Arab Middle East and North Africa,1,ARE,1
528,UAE,2016,5550,15,56,June,Harbin Electric,2150,,DEWA,Energy,Coal,Arab Middle East and North Africa,1,ARE,1
574,UAE,2016,5550,15,56,September,China Ocean Shipping,670,90%,,Logistics,Unspecified,Arab Middle East and North Africa,1,ARE,1
575,UAE,2016,5550,15,56,November,State Construction Engineering,150,,Damac,Tourism,Unspecified,Arab Middle East and North Africa,1,ARE,1
576,UAE,2016,5550,15,56,December,State Construction Engineering,200,,HEI,Energy,Coal,Arab Middle East and North Africa,1,ARE,1
584,Ukraine,2016,180,1,10,November,China National Building Material,180,,Activ Solar,Energy,Alternative,Europe,1,UKR,1
596,Uzbekistan,2016,810,3,13,December,China Singyes,150,,,Energy,Alternative,West Asia,1,UZB,1
661,Venezuela,2016,7530,8,10,July,CITIC,130,,,Utilities,Unspecified,South America,1,VEN,1
663,Venezuela,2016,7530,8,10,November,CNPC,1460,,PDVSA,Energy,Oil,South America,1,VEN,1
638,Zambia,2016,4330,12,28,January,State Construction Engineering,200,,,Transport,Autos,Sub-Saharan Africa,1,ZMB,1
639,Zambia,2016,4330,12,28,April,China Railway Engineering,220,,,Energy,Unspecified,Sub-Saharan Africa,1,ZMB,1
640,Zambia,2016,4330,12,28,December,China Railway Engineering,110,,,Transport,Autos,Sub-Saharan Africa,1,ZMB,1
641,Zambia,2016,4330,12,28,December,Shandong Dejian,170,,,Agriculture,Unspecified,Sub-Saharan Africa,1,ZMB,1
699,Zimbabwe,2016,4690,7,16,July,Power Construction Corp,600,,,Energy,Hydro,Sub-Saharan Africa,1,ZWE,1
833,Afghanistan,2017,210,1,1,January,China Communications Construction,210,,,Transport,Autos,West Asia,1,AFG,1
758,Angola,2017,9360,18,20,July,China Communications Construction,200,,,Energy,Alternative,Sub-Saharan Africa,1,AGO,1
780,Angola,2017,9360,18,20,January,China Railway Engineering,100,,,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
782,Angola,2017,9360,18,20,January,China Railway Engineering,160,,,Transport,Autos,Sub-Saharan Africa,1,AGO,1
783,Angola,2017,9360,18,20,June,China Energy Engineering,2770,61%,Boreal Investments,Energy,Hydro,Sub-Saharan Africa,1,AGO,1
790,Angola,2017,9360,18,20,January,China Railway Engineering,130,,,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
759,Austria,2017,230,1,1,May,HNA,230,74%,C-Quadrat Investment,Finance,Investment,Europe,1,AUT,1
762,Bangladesh,2017,11320,23,45,March,China Energy Engineering,110,,,Transport,Autos,West Asia,1,BDG,1
763,Bangladesh,2017,11320,23,45,June,China Communications Construction,110,,,Other,Industry,West Asia,1,BDG,1
764,Bangladesh,2017,11320,23,45,August,China Energy Conservation,120,,,Utilities,Unspecified,West Asia,1,BDG,1
765,Bangladesh,2017,11320,23,45,September,China Railway Engineering,110,,Toma's Construction,Transport,Rail,West Asia,1,BDG,1
766,Bangladesh,2017,11320,23,45,September,China Railway Construction,210,,Max Infrastructure,Transport,Rail,West Asia,1,BDG,1
770,Bangladesh,2017,11320,23,45,May,Power Construction Corp,190,,,Transport,Rail,West Asia,1,BDG,1
814,Barbados,2017,490,3,3,January,Beijing Urban Construction,200,,,Tourism,Unspecified,North America,1,BRB,1
817,Barbados,2017,490,3,3,March,State Development and Investment Corp,120,,,Transport,Aviation,North America,1,BRB,1
818,Bolivia,2017,4140,13,17,May,Power Construction Corp,280,,,Transport,Autos,South America,1,BOL,1
819,Bolivia,2017,4140,13,17,August,Power Construction Corp,190,,,Energy,Hydro,South America,1,BOL,1
824,Bosnia,2017,1100,2,7,November,Shandong Gaosu,640,,,Transport,Autos,Europe,1,BIH,1
812,Cambodia,2017,3030,14,30,December,Hengtong Group,200,,Inner Renewable Energy,Energy,Alternative,East Asia,1,KHM,1
813,Cambodia,2017,3030,14,30,June,State Construction Engineering,130,,,Real estate,Construction,East Asia,1,KHM,1
828,Cambodia,2017,3030,14,30,April,State Construction Engineering,160,,,Entertainment,Unspecified,East Asia,1,KHM,1
829,Cambodia,2017,3030,14,30,April,Sino Great Wall,560,,Cambodia Petrochemical,Energy,Oil,East Asia,1,KHM,1
830,Cambodia,2017,3030,14,30,May,Sino Great Wall,120,,,Real estate,Construction,East Asia,1,KHM,1
804,Cameroon,2017,3100,9,10,July,Huawei,120,,,Energy,Alternative,Sub-Saharan Africa,1,CMR,1
805,Cameroon,2017,3100,9,10,December,Sinomach,400,,,Energy,Hydro,Sub-Saharan Africa,1,CMR,1
806,Chad,2017,550,3,3,March,China Energy Engineering,310,,,Energy,Oil,Sub-Saharan Africa,1,TCD,1
753,Egypt,2017,7750,9,17,August,"AVIC, China Railway Engineering",1240,,,Transport,Rail,Arab Middle East and North Africa,1,EGY,1
809,Egypt,2017,7750,9,17,May,Sinomach,400,,,Agriculture,Unspecified,Arab Middle East and North Africa,1,EGY,1
831,Egypt,2017,7750,9,17,October,Power Construction Corp,1990,,Sokhna Refinery and Petrochemicals ,Energy,Oil,Arab Middle East and North Africa,1,EGY,1
724,Ethiopia,2017,9130,27,37,October,China Railway Construction,160,,,Other,Industry,Sub-Saharan Africa,1,ETH,1
730,Ethiopia,2017,9130,27,37,March,Tebian Electric Apparatus,100,,,Energy,Unspecified,Sub-Saharan Africa,1,ETH,1
732,Ethiopia,2017,9130,27,37,January,Sinopec,110,,,Other,Industry,Sub-Saharan Africa,1,ETH,1
734,Ethiopia,2017,9130,27,37,March,Shanghai Electric,100,,Ethiopian Electric Power,Energy,Unspecified,Sub-Saharan Africa,1,ETH,1
745,Ethiopia,2017,9130,27,37,June,Sinopec,130,,,Real estate,Construction,Sub-Saharan Africa,1,ETH,1
750,Ethiopia,2017,9130,27,37,May,Dongfang Electric,260,,,Energy,Alternative,Sub-Saharan Africa,1,ETH,1
751,Ethiopia,2017,9130,27,37,January,China Railway Engineering,240,,,Other,Industry,Sub-Saharan Africa,1,ETH,1
746,Georgia,2017,510,3,5,November,Dongfang Electric,250,,,Energy,Coal,West Asia,1,GEO,1
726,Ghana,2017,4100,11,19,June,Jiangxi International Economic and Technical Cooperation,390,,,Transport,Autos,Sub-Saharan Africa,1,GHA,1
736,Greece,2017,3170,5,8,May,"Shanghai Gongbao, KaiXinRong",560,,Forthnet,Technology,Telecom,Europe,1,GRC,1
738,Greece,2017,3170,5,8,November,State Energy Investment,1640,75%,Copelouzos,Energy,Alternative,Europe,1,GRC,1
748,Hungary,2017,210,1,4,January,Ex-Im Bank,210,,Invitel Group,Technology,Telecom,Europe,1,HUN,1
891,Indonesia,2017,19470,43,76,March,China Communications Construction,110,,,Real estate,Property,East Asia,1,IDN,1
900,Indonesia,2017,19470,43,76,June,"Tsingshan Steel, Delong Holdings",150,,Morowali,Metals,Steel,East Asia,1,IDN,1
902,Indonesia,2017,19470,43,76,July,Tencent,150,,Go-Jek,Transport,Autos,East Asia,1,IDN,1
903,Indonesia,2017,19470,43,76,June,China Nonferrous,200,51%,,Metals,Unspecified,East Asia,1,IDN,1
907,Indonesia,2017,19470,43,76,August,Alibaba,500,,Tokopedia,Other,Consumer,East Asia,1,IDN,1
914,Indonesia,2017,19470,43,76,January,CNOOC,1040,14%,,Energy,Gas,East Asia,1,IDN,1
916,Indonesia,2017,19470,43,76,August,JD.com,100,,Go-Jek,Transport,Autos,East Asia,1,IDN,1
918,Indonesia,2017,19470,43,76,January,China National Building Material,230,,Indoserena Dwimakmur,Real estate,Construction,East Asia,1,IDN,1
920,Indonesia,2017,19470,43,76,February,China Communications Construction,640,,,Transport,Rail,East Asia,1,IDN,1
921,Indonesia,2017,19470,43,76,March,China Fortune,300,,,Real estate,Property,East Asia,1,IDN,1
922,Indonesia,2017,19470,43,76,November,China Communications Construction,170,,,Transport,Autos,East Asia,1,IDN,1
861,Iran,2017,8260,13,17,February,Sinopec,590,,,Energy,Oil,West Asia,1,IRN,1
862,Iran,2017,8260,13,17,November,Norinco,1530,,,Chemicals,Unspecified,West Asia,1,IRN,1
863,Iran,2017,8260,13,17,December,Sinopec,1050,,,Energy,Oil,West Asia,1,IRN,1
884,Iran,2017,8260,13,17,February,Sinomach,220,,,Metals,Unspecified,West Asia,1,IRN,1
835,Iraq,2017,5720,13,26,June,Norinco,450,,Jabal Bazian,Real estate,Construction,Arab Middle East and North Africa,1,IRQ,1
890,Israel,2017,9260,10,14,November,"Shenzhen Metro, China Railway Construction",170,,,Transport,Rail,Arab Middle East and North Africa,1,ISR,1
905,Israel,2017,9260,10,14,February,Guangdong Midea,170,,Servotronix,Other,Industry,Arab Middle East and North Africa,1,ISR,1
842,Italy,2017,21040,21,24,December,Shanghai-based consortium,360,,Esaote,Health,Unspecified,Europe,1,IYH,1
843,Italy,2017,21040,21,24,March,Sino-Europe Sports,530,,Elliott Management,Entertainment,Unspecified,Europe,1,IYH,1
859,Ivory Coast,2017,760,2,10,November,Power Construction Corp,350,,,Energy,Hydro,Sub-Saharan Africa,1,CIV,1
865,Jamaica,2017,2140,4,4,February,Power Construction Corp,760,,,Energy,Oil,North America,1,JAM,1
864,Jordan,2017,3900,6,7,June,Power Construction Corp,380,,,Energy,Gas,Arab Middle East and North Africa,1,JOR,1
872,Kazakhstan,2017,9160,15,24,May,CITIC,940,,,Transport,Autos,West Asia,1,KAZ,1
873,Kazakhstan,2017,9160,15,24,May,China Railway Engineering,1170,,,Transport,Rail,West Asia,1,KAZ,1
874,Kazakhstan,2017,9160,15,24,June,CITIC,110,60%,Halyk Bank,Finance,Banking,West Asia,1,KAZ,1
875,Kazakhstan,2017,9160,15,24,June,Norinco,710,,,Metals,Steel,West Asia,1,KAZ,1
908,Kenya,2017,5680,18,29,February,"AVIC, Jiangxi Water",310,39%,Two Rivers,Real estate,Property,Sub-Saharan Africa,1,KEN,1
909,Kenya,2017,5680,18,29,March,"Henan International Cooperation, China City Construction",170,,,Transport,Autos,Sub-Saharan Africa,1,KEN,1
910,Kenya,2017,5680,18,29,July,Sinomach,130,,,Energy,Unspecified,Sub-Saharan Africa,1,KEN,1
911,Kenya,2017,5680,18,29,July,Guangdong New South,1900,,,Other,Industry,Sub-Saharan Africa,1,KEN,1
912,Kenya,2017,5680,18,29,November,China Energy Engineering,360,,,Energy,Hydro,Sub-Saharan Africa,1,KEN,1
737,Kuwait,2017,5670,13,20,April,State Construction Engineering,120,,,Other,Education,Arab Middle East and North Africa,1,KWT,1
752,Kuwait,2017,5670,13,20,November,Minmetals,500,,,Transport,Autos,Arab Middle East and North Africa,1,KWT,1
923,Kuwait,2017,5670,13,20,March,China Energy Engineering,710,,,Real estate,Construction,Arab Middle East and North Africa,1,KWT,1
848,Laos,2017,11930,25,37,July,Hongshi,210,70%,,Real estate,Construction,East Asia,1,LAO,1
849,Laos,2017,11930,25,37,March,State Development and Investment Corp,310,,Phong Sub Thavy,Energy,Hydro,East Asia,1,LAO,1
850,Laos,2017,11930,25,37,March,Yunnan Energy Investment,160,,,Energy,Hydro,East Asia,1,LAO,1
883,Laos,2017,11930,25,37,February,Hebei Construction,140,,,Energy,Hydro,East Asia,1,LAO,1
896,Laos,2017,11930,25,37,January,Shandong Sun Paper,290,100%,,Other,Timber,East Asia,1,LAO,1
856,Liberia,2017,410,2,2,June,Tidfore Heavy,250,100%,,Metals,Steel,Sub-Saharan Africa,1,LBR,1
858,Luxembourg,2017,4210,4,5,August,Legend,1760,90%,Qatar royal family,Finance,Banking,Europe,1,LUX,1
847,Malaysia,2017,26660,45,58,January,Minmetals,1660,,,Metals,Steel,East Asia,1,MYS,1
852,Malaysia,2017,26660,45,58,March,Qingdao Lu Haifeng,280,100%,,Agriculture,Unspecified,East Asia,1,MYS,1
853,Malaysia,2017,26660,45,58,May,CNPC,100,,,Chemicals,Unspecified,East Asia,1,MYS,1
854,Malaysia,2017,26660,45,58,June,China Galaxy Securities,120,50%,CIMB,Finance,Investment,East Asia,1,MYS,1
855,Malaysia,2017,26660,45,58,June,Geely Auto,110,50%,Proton,Transport,Autos,East Asia,1,MYS,1
885,Malaysia,2017,26660,45,58,August,Shandong Hengyuan,140,,,Energy,Oil,East Asia,1,MYS,1
893,Malaysia,2017,26660,45,58,July,China Energy Engineering,250,70%,Sarawak Energy,Energy,Hydro,East Asia,1,MYS,1
