,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
140,Trinidad-Tobago,2014,100,1,5,December,Power Construction Corp,100,,,Utilities,Unspecified,North America,1,TUI,1
141,Turkey,2014,320,1,12,April,ICBC,320,76%,Tekstil Bankasi,Finance,Banking,West Asia,1,TUR,1
154,Turkmenistan,2014,600,1,1,May,CNPC,600,100%,,Energy,Gas,West Asia,1,TKM,1
107,UAE,2014,640,4,56,August,State Construction Engineering,330,,Skai,Tourism,Unspecified,Arab Middle East and North Africa,1,ARE,1
143,UAE,2014,640,4,56,May,State Construction Engineering,100,,,Transport,Autos,Arab Middle East and North Africa,1,ARE,1
148,UAE,2014,640,4,56,April,State Construction Engineering,100,,,Transport,Aviation,Arab Middle East and North Africa,1,ARE,1
149,UAE,2014,640,4,56,April,State Construction Engineering,110,,,Transport,Autos,Arab Middle East and North Africa,1,ARE,1
81,Uganda,2014,920,2,8,December,Guangzhou Dongsong,620,100%,,Chemicals,Unspecified,Sub-Saharan Africa,1,UGA,1
111,Uganda,2014,920,2,8,August,Sichuan Department of Agriculture,300,,,Agriculture,Unspecified,Sub-Saharan Africa,1,UGA,1
160,Uzbekistan,2014,660,2,13,August,"Sinomach, China National Chemical Engineering",480,,Uzkhimprom,Chemicals,Unspecified,West Asia,1,UZB,1
162,Uzbekistan,2014,660,2,13,August,China Poly,180,,Uzkhimprom,Agriculture,Unspecified,West Asia,1,UZB,1
125,Venezuela,2014,2820,4,10,December,CITIC,760,,,Real estate,Construction,South America,1,VEN,1
126,Venezuela,2014,2820,4,10,August,Dongfang Electric,1080,,Corpoelec,Energy,Hydro,South America,1,VEN,1
127,Venezuela,2014,2820,4,10,April,Chinalco,500,,Venalum,Metals,Aluminum,South America,1,VEN,1
129,Venezuela,2014,2820,4,10,February,Power Construction Corp,480,80%,Camargo Correa,Transport,Autos,South America,1,VEN,1
115,Vietnam,2014,1080,2,27,November,Texhong Textile,210,,,Other,Industry,East Asia,1,VNM,1
85,Zambia,2014,210,2,28,May,Sinomach,100,,,Agriculture,Unspecified,Sub-Saharan Africa,1,ZMB,1
241,Zambia,2014,210,2,28,October,Sinomach,110,,,Agriculture,Unspecified,Sub-Saharan Africa,1,ZMB,1
220,Zimbabwe,2014,780,2,16,September,Power Construction Corp,530,,,Energy,Hydro,Sub-Saharan Africa,1,ZWE,1
221,Zimbabwe,2014,780,2,16,March,Zhenfa New Energy Science,250,100%,,Energy,Alternative,Sub-Saharan Africa,1,ZWE,1
311,Algeria,2015,4230,8,19,June,Sinoma,270,,SARL Biskra Ciment,Real estate,Construction,Arab Middle East and North Africa,1,DZA,1
318,Algeria,2015,4230,8,19,November,Sinosteel,140,,,Metals,Steel,Arab Middle East and North Africa,1,DZA,1
439,Angola,2015,2500,4,20,December,CITIC,610,,,Utilities,Unspecified,Sub-Saharan Africa,1,AGO,1
401,Bangladesh,2015,4180,6,45,December,Power Construction Corp,1550,,,Transport,Shipping,West Asia,1,BDG,1
402,Bangladesh,2015,4180,6,45,November,ZTE,150,,,Technology,Unspecified,West Asia,1,BDG,1
403,Bangladesh,2015,4180,6,45,July,Power Construction Corp,1360,,S.Alam,Energy,Coal,West Asia,1,BDG,1
404,Bangladesh,2015,4180,6,45,July,"Power Construction Corp, HTG",750,30%,S.Alam,Energy,Coal,West Asia,1,BDG,1
426,Barbados,2015,170,1,3,December,State Development and Investment Corp,170,,,Tourism,Unspecified,North America,1,BRB,1
408,Belarus,2015,940,4,6,March,CITIC,300,,,Transport,Autos,Europe,1,BLR,1
424,Belarus,2015,940,4,6,November,China Merchants,140,100%,,Logistics,Unspecified,Europe,1,BLR,1
425,Belarus,2015,940,4,6,May,Geely Auto,160,48%,BELGEE Plant,Transport,Autos,Europe,1,BLR,1
421,Benin,2015,800,2,3,December,Power Construction Corp,160,,Benin Electric,Energy,Hydro,Sub-Saharan Africa,1,BEN,1
419,Bolivia,2015,1760,7,17,September,China Railway Engineering,250,,,Transport,Autos,South America,1,BOL,1
420,Bolivia,2015,1760,7,17,July,Sinomach,180,,,Chemicals,Unspecified,South America,1,BOL,1
418,Bosnia,2015,460,1,7,October,Dongfang Electric,460,,,Energy,Coal,Europe,1,BIH,1
413,Brunei,2015,3970,3,3,September,State Construction Engineering,330,,,Transport,Autos,East Asia,1,BRN,1
414,Brunei,2015,3970,3,3,May,China Communications Construction,200,,,Transport,Autos,East Asia,1,BRN,1
386,Cambodia,2015,1160,5,30,December,CITIC,260,,Chip Mong Insee,Real estate,Construction,East Asia,1,KHM,1
387,Cambodia,2015,1160,5,30,July,State Construction Engineering,240,,,Real estate,Construction,East Asia,1,KHM,1
409,Cambodia,2015,1160,5,30,June,Shanghai Construction,120,,,Transport,Autos,East Asia,1,KHM,1
410,Cambodia,2015,1160,5,30,May,China Communications Construction,130,,,Transport,Autos,East Asia,1,KHM,1
348,Cameroon,2015,2160,5,10,October,China Unicom,490,,Camtel,Technology,Telecom,Sub-Saharan Africa,1,CMR,1
349,Cameroon,2015,2160,5,10,August,Sinoma,120,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,CMR,1
350,Cameroon,2015,2160,5,10,August,China Communications Construction,200,,Kribi,Transport,Shipping,Sub-Saharan Africa,1,CMR,1
351,Cameroon,2015,2160,5,10,February,Power Construction Corp,650,,,Energy,Hydro,Sub-Saharan Africa,1,CMR,1
428,Cameroon,2015,2160,5,10,August,China Communications Construction,700,,,Logistics,Unspecified,Sub-Saharan Africa,1,CMR,1
377,Czech Republic,2015,200,2,4,September,CEFC,100,5%,J&T Finance,Finance,Investment,Europe,1,CZE,1
378,Czech Republic,2015,200,2,4,May,CEFC,100,5%,J&T Finance,Finance,Investment,Europe,1,CZE,1
375,Djibouti,2015,1020,2,2,July,State Construction Engineering,420,,,Transport,Shipping,Sub-Saharan Africa,1,DJI,1
376,Djibouti,2015,1020,2,2,January,China Railway Construction,600,,,Transport,Aviation,Sub-Saharan Africa,1,DJI,1
373,Ecuador,2015,2840,5,12,November,China Energy Engineering,200,,,Real estate,Construction,South America,1,ECU,1
374,Ecuador,2015,2840,5,12,September,Sinomach,220,,,Real estate,Construction,South America,1,ECU,1
369,Egypt,2015,2150,4,17,May,China Energy Engineering,990,,,Utilities,Unspecified,Arab Middle East and North Africa,1,EGY,1
370,Egypt,2015,2150,4,17,May,China National Building Material,190,,,Other,Industry,Arab Middle East and North Africa,1,EGY,1
371,Egypt,2015,2150,4,17,April,China Railway Construction,600,,Egypt Rail,Transport,Rail,Arab Middle East and North Africa,1,EGY,1
453,Ethiopia,2015,5060,11,37,February,China Communications Construction,230,,,Transport,Aviation,Sub-Saharan Africa,1,ETH,1
456,Ethiopia,2015,5060,11,37,April,State Construction Engineering,270,,,Real estate,Construction,Sub-Saharan Africa,1,ETH,1
458,Ethiopia,2015,5060,11,37,August,Norinco,230,,Ethiopian Electric Power,Energy,Unspecified,Sub-Saharan Africa,1,ETH,1
459,Ethiopia,2015,5060,11,37,August,Sinoma,240,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,ETH,1
466,Ethiopia,2015,5060,11,37,November,China Railway Engineering,180,,,Transport,Autos,Sub-Saharan Africa,1,ETH,1
450,Gabon,2015,100,1,2,July,State Construction Engineering,100,,,Entertainment,Unspecified,Sub-Saharan Africa,1,GAB,1
454,Georgia,2015,100,1,5,October,Power Construction Corp,100,,,Transport,Autos,West Asia,1,GEO,1
432,Ghana,2015,2450,7,19,April,China Communications Construction,350,,,Transport,Shipping,Sub-Saharan Africa,1,GHA,1
440,Ghana,2015,2450,7,19,May,"Shenzhen Energy, China Development Bank",590,,,Energy,Gas,Sub-Saharan Africa,1,GHA,1
442,Ghana,2015,2450,7,19,October,Power Construction Corp,550,,,Energy,Coal,Sub-Saharan Africa,1,GHA,1
455,Guinea,2015,4580,5,15,July,Huawei,240,,,Technology,Telecom,Sub-Saharan Africa,1,GIN,1
467,Guinea,2015,4580,5,15,September,Three Gorges,1380,,,Energy,Hydro,Sub-Saharan Africa,1,GIN,1
250,Indonesia,2015,12110,23,76,December,Shenhua,1320,70%,PLN,Energy,Coal,East Asia,1,IDN,1
253,Indonesia,2015,12110,23,76,December,Sinomach,1160,,PT Bantaeng Sigma Energi,Energy,Coal,East Asia,1,IDN,1
266,Indonesia,2015,12110,23,76,November,Sinosteel,180,,Pt CPS Indonesia Medan,Energy,Alternative,East Asia,1,IDN,1
268,Indonesia,2015,12110,23,76,November,MCC,260,,,Transport,Autos,East Asia,1,IDN,1
273,Indonesia,2015,12110,23,76,February,China Communications Construction,100,,PT. Suluh Cemerlang,Real estate,Property,East Asia,1,IDN,1
274,Indonesia,2015,12110,23,76,February,"Shanghai Auto, Wuling",390,56%,,Transport,Autos,East Asia,1,IDN,1
275,Indonesia,2015,12110,23,76,March,Huadian,870,55%,Bukit Asam,Energy,Coal,East Asia,1,IDN,1
276,Indonesia,2015,12110,23,76,May,Sinosteel,120,,DBM,Metals,Steel,East Asia,1,IDN,1
282,Indonesia,2015,12110,23,76,May,China Energy Engineering,240,,,Energy,Coal,East Asia,1,IDN,1
283,Indonesia,2015,12110,23,76,July,Tsingshan Steel,510,50%,Bintang Delapan,Metals,Steel,East Asia,1,IDN,1
285,Indonesia,2015,12110,23,76,August,China Communications Construction,120,,WIKA and PP,Transport,Autos,East Asia,1,IDN,1
287,Indonesia,2015,12110,23,76,August,Power Construction Corp,110,,,Energy,Hydro,East Asia,1,IDN,1
288,Indonesia,2015,12110,23,76,November,Shenhua,570,75%,PLN,Energy,Coal,East Asia,1,IDN,1
289,Indonesia,2015,12110,23,76,November,MCC,110,,Tsingshan,Metals,Steel,East Asia,1,IDN,1
316,Iran,2015,1510,5,17,September,China Communications Construction,500,,,Transport,Autos,West Asia,1,IRN,1
301,Iraq,2015,3470,8,26,July,Antonoil,140,,,Energy,Oil,Arab Middle East and North Africa,1,IRQ,1
302,Iraq,2015,3470,8,26,May,Zhongman Petroleum,530,,,Energy,Oil,Arab Middle East and North Africa,1,IRQ,1
272,Israel,2015,2710,4,14,January,"Tencent, Renren",100,,Singulariteam,Technology,Unspecified,Arab Middle East and North Africa,1,ISR,1
293,Italy,2015,18440,15,24,July,Fosun,380,,Palazzo Broggi ,Real estate,Property,Europe,1,IALAI,1
294,Italy,2015,18440,15,24,October,SAFE,200,2%,Poste Italiane,Logistics,Unspecified,Europe,1,IOSTE,1
303,Italy,2015,18440,15,24,December,Three Gorges,100,49%,EDP,Energy,Alternative,Europe,1,IYH,1
337,Italy,2015,18440,15,24,June,"ChemChina, SAFE",7860,100%,Pirelli,Transport,Autos,Europe,1,IYH,1
338,Italy,2015,18440,15,24,June,SAFE,1220,2%,Intesa Sanpaolo,Finance,Banking,Europe,1,INTEO,1
339,Italy,2015,18440,15,24,June,SAFE,820,2%,Unicredit,Finance,Banking,Europe,1,ITA,1
291,Jordan,2015,2220,3,7,September,Shenzhen Government,350,,,Other,Industry,Arab Middle East and North Africa,1,JOR,1
298,Kazakhstan,2015,5710,9,24,December,China National Chemical Engineering,1870,,Kazakhstan Petrochemical,Chemicals,Unspecified,West Asia,1,KAZ,1
299,Kazakhstan,2015,5710,9,24,March,Geo-Jade Petroleum,120,100%,Caspian Nature Resources,Energy,Oil,West Asia,1,KAZ,1
300,Kazakhstan,2015,5710,9,24,March,Geo-Jade Petroleum,350,100%,KoZhan,Energy,Oil,West Asia,1,KAZ,1
