Port,Longitude,Latitude
 Medan Sumatra ,3.58333,98.66667
 Palembang Sumatra ,-2.91673,104.7458
 Panjang ,0.3087,100.6199
 Pontianak Kalimantan ,-0.03194,109.325
 Samarinda Kalimantan ,-0.49167,117.14583
 Sorong ,-0.87956,131.26104
 Tarakan Kalimantan ,3.31332,117.59152
 Tolitoli ,1.2718,121.1679
 Abu Al Fulus ,30.44783,48.04246
 Basra ,30.50852,47.7804
 Marina di Carrara ,44.03837,10.04142
 Monfalcone ,45.80463,13.53292
 Pozzuoli ,40.84394,14.0952
 Ravenna ,44.41344,12.20121
 Salerno ,40.67545,14.79328
 Trieste ,45.64953,13.77678
 Kingston ,17.99702,-76.79358
 Montego Bay ,18.47116,-77.91883
 Mombasa ,-4.05466,39.66359
 Moroni ,-11.70216,43.25506
 Tripoli ,34.43352,35.84415
 Klaipeda ,55.7068,21.13912
 Riga ,56.946,24.10589
 Bingazi (Benghazi) ,32.11486,20.06859
 Misurata ,32.37535,15.09254
 Tripoli ,32.88743,13.18733
 Antsiranana ,-12.31732,49.29188
 Majunga (Mahajanga) ,-15.71667,46.31667
 Tamatave (Toamasina) ,-18.1492,49.40234
 Tulear (Toliara) ,-23.35,43.66667
 Yangon ,16.80528,96.15611
 Yangon ,16.80528,96.15611
 Nouadhibou ,20.94188,-17.03842
 Nouakchott ,18.08581,-15.9785
 Bintulu Sarawak ,3.16667,113.03333
 Kota Kinabalu Sabah ,5.9749,116.0724
 Kuching Sarawak ,1.55,110.33333
 Labuan Sabah ,5.28883,115.26924
 Malacca ,2.196,102.2405
 Pasir Gudang Johor ,1.4726,103.878
 Sandakan Sabah ,5.8402,118.1179
 Sibu Sarawak ,2.3,111.81667
 Tawau Sabah ,4.24482,117.89115
 Beira ,-19.84361,34.83889
 Maputo ,-25.96553,32.58322
 Nacala ,-14.56257,40.68538
 Quelimane ,-17.87861,36.88833
 Walvis Bay ,-22.9575,14.50528
 Apapa ,6.4488,3.35901
 Calabar ,4.95893,8.32695
 Lagos ,6.45407,3.39467
 Port Harcourt ,4.77742,7.0134
 Salalah ,17.01505,54.09237
 Sohar ,24.34745,56.70937
 Almirante ,9.30091,-82.4018
 Balboa ,8.94814,-79.56672
 Coco Solo ,9.37091,-79.88168
 Manzanillo ,7.53667,-81.16667
 Callao ,-12.05659,-77.11814
 Ilo ,-17.63185,-71.34108
 Iquitos ,-3.74912,-73.25383
 Matarani ,-16.99639,-72.10563
 Paita ,-5.08917,-81.11444
 Pisco ,-13.71029,-76.20538
 Alotau ,-10.31509,150.45742
 Buka ,-5.43261,154.67098
 Kimbe ,-5.55085,150.13766
 Lae ,-6.72333,146.99611
 Port Moresby ,-9.47723,147.15089
 Rabaul ,-4.20037,152.16297
 Wewak ,-3.54964,143.63229
 Bacolod Negros ,10.66667,122.95
